Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Tom	16:16 2/6/2021	102
Jim	16:16 2/6/2021	123
Mike	16:16 2/6/2021	205
Mike	16:20 2/6/2021	129
Tom	16:20 2/6/2021	143
Jim	16:20 2/6/2021	123
Tom	16:22 2/6/2021	128
Jim	16:22 2/6/2021	109
Mike	16:22 2/6/2021	140
Mike	16:26 2/6/2021	168
Jim	16:26 2/6/2021	189
Tom	16:26 2/6/2021	122
Jim	17:59 2/6/2021	90
Tom	17:59 2/6/2021	173
Tom	18:0 2/6/2021	140
Jim	18:0 2/6/2021	107
Jim	18:1 2/6/2021	98
Tom	18:2 2/6/2021	165
Tom	18:16 2/6/2021	171
Jim	18:16 2/6/2021	89
Jim	18:47 2/6/2021	119
Lana	18:47 2/6/2021	148
Jim	19:1 2/6/2021	122
Lana	19:1 2/6/2021	125
Mike	19:17 2/6/2021	137
Tom	19:17 2/6/2021	169
Mike	19:19 2/6/2021	146
Tom	19:19 2/6/2021	154
Jim	19:20 2/6/2021	121
TomH	19:20 2/6/2021	95
Jim	19:56 2/6/2021	139
Mike	19:56 2/6/2021	155
Mike	19:57 2/6/2021	140
Jim	19:57 2/6/2021	163
Jim	20:1 2/6/2021	198
Lana	20:1 2/6/2021	105
Jim	20:3 2/6/2021	153
Mike	20:3 2/6/2021	124
Lana	20:7 2/6/2021	142
Tom	20:7 2/6/2021	134
Jim	20:9 2/6/2021	137
Lana	20:9 2/6/2021	133
Jim	20:12 2/6/2021	96
Mike	20:12 2/6/2021	126
Jim	20:16 2/6/2021	151
Mike	20:16 2/6/2021	114
Tom	20:16 2/6/2021	125
Jim	21:10 2/6/2021	116
Tom	21:10 2/6/2021	186
Tom	21:19 2/6/2021	107
TomH	21:19 2/6/2021	150
Tom	21:38 2/6/2021	127
Lana	21:38 2/6/2021	173
